schoolId,schoolName,status,failureStage,officialWebsite,candidateSourcePages,currentUnitCount,lastAttemptAt,attempts,error,recommendedAction
school-1a9u4ne,上海体育大学,pending-review,website-discovery,,,0,2026-07-13T13:53:42.273Z,1,title contains school name,补充学校官网或官方院系页
school-1tyy51z,南京大学,pending-review,academic-unit-page-discovery,https://dawww.nju.edu.cn/,,0,2026-07-13T13:56:57.142Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-4734ke,南京航空航天大学,pending-review,academic-unit-page-discovery,https://nuaa.edu.cn/,,0,2026-07-13T13:58:34.885Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-1pm0j22,南京邮电大学,pending-review,academic-unit-page-discovery,https://www.njupt.edu.cn/,,0,2026-07-13T14:01:33.692Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-sd0dr,南京信息工程大学,crawl-failed,,https://www.nuist.edu.cn/,https://yqy.nuist.edu.cn/main.htm,0,2026-07-13T14:04:20.991Z,4,HTTP 403,检查官方页面访问或网络错误
school-y7xx6,扬州大学,source-not-found,website-discovery,,,0,2026-07-13T14:10:40.992Z,1,title contains school name,补充学校官网或官方院系页
school-udm8rw,浙江大学,pending-review,website-discovery,,,0,2026-07-13T14:11:17.362Z,1,title contains school name,补充学校官网或官方院系页
school-jaj11d,浙江师范大学,pending-review,academic-unit-page-discovery,https://yjsb.zjnu.edu.cn/,,0,2026-07-13T14:14:42.615Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-6q2n0i,杭州师范大学,pending-review,academic-unit-page-discovery,https://www.hznu.edu.cn/,,0,2026-07-13T14:14:39.212Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-4bau24,中国美术学院,pending-review,website-discovery,,,0,2026-07-13T14:15:28.052Z,1,title contains school name,补充学校官网或官方院系页
school-libbbf,浙江财经大学,pending-review,academic-unit-page-discovery,https://www.zufe.edu.cn/,,0,2026-07-13T14:16:21.660Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-19js9tt,西湖大学,pending-review,website-discovery,,,0,2026-07-13T14:17:35.805Z,1,title contains school name,补充学校官网或官方院系页
school-1jkaaqv,宁波诺丁汉大学,pending-review,academic-unit-page-discovery,https://www.nottingham.edu.cn/,,0,2026-07-13T14:17:52.750Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
